,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
359,Kangaba,11.9333,-8.4167,74.12,95,100,4.07,ML,1627681104
360,Dalmatovo,56.26,62.9362,57.69,97,9,7.85,RU,1627681104
361,Flin Flon,54.7682,-101.865,78.64,36,20,17.27,CA,1627681105
362,Kirakira,-10.4544,161.9205,80.73,80,51,8.81,SB,1627681105
363,Ballina,-28.8667,153.5667,42.76,100,1,0.0,AU,1627681106
364,Mumford,5.2618,-0.759,75.92,89,100,9.62,GH,1627681107
365,Semīrom,31.4167,51.5667,66.63,33,28,3.47,IR,1627681107
366,Aquidauana,-20.4711,-55.7872,62.11,18,85,4.41,BR,1627681108
367,Shirokiy,49.758,129.523,67.69,98,100,10.85,RU,1627681108
368,Chapais,49.7834,-74.8492,49.78,82,100,10.49,CA,1627681109
369,Macultepec,18.1667,-92.8333,93.33,52,40,18.41,MX,1627681110
370,Graciano Sánchez,23.9167,-99.2833,85.15,48,41,5.23,MX,1627681111
371,Cabedelo,-6.9811,-34.8339,74.07,82,89,12.35,BR,1627681112
372,Lata,40.1629,-8.3327,62.92,98,7,4.45,PT,1627681112
373,Vanimo,-2.6741,141.3028,78.4,84,42,3.4,PG,1627681113
374,Larsnes,62.2028,5.5773,55.85,73,76,9.44,NO,1627681114
375,Ulaangom,49.9811,92.0667,59.95,62,100,19.98,MN,1627681114
376,Lixouri,38.2019,20.4314,80.8,58,0,5.41,GR,1627681115
377,Mikhaylovka,50.06,43.2379,68.99,79,12,6.49,RU,1627681115
378,Guerrero Negro,27.9769,-114.0611,82.09,54,16,13.15,MX,1627681116
379,Les Cayes,18.2,-73.75,84.07,71,1,9.35,HT,1627681117
380,Sicuani,-14.2694,-71.2261,56.97,34,13,10.27,PE,1627681117
381,Gold Coast,-28.0,153.4333,57.27,86,0,8.05,AU,1627681118
382,Cairns,-16.9167,145.7667,68.07,88,87,1.14,AU,1627681119
383,Sioux Lookout,50.1001,-91.917,68.07,77,90,5.75,CA,1627681087
384,Manokwari,-0.8667,134.0833,79.25,73,95,3.74,ID,1627681120
385,Aksarka,66.5606,67.7975,47.52,90,100,10.07,RU,1627681120
386,Sittwe,20.15,92.9,80.71,87,96,11.86,MM,1627681121
387,Khani,41.9563,42.9566,62.17,95,81,0.85,GE,1627681121
388,Marsh Harbour,26.5412,-77.0636,84.87,67,15,10.78,BS,1627681122
389,Tahe,52.3333,124.7333,52.29,98,100,3.98,CN,1627681123
390,College,64.8569,-147.8028,68.67,65,90,3.44,US,1627680843
391,Zhigansk,66.7697,123.3711,65.39,42,8,5.97,RU,1627681124
392,Socorro,31.6546,-106.3033,95.45,24,20,12.66,US,1627681124
393,Tagusao,9.1924,117.8141,81.09,82,91,11.21,PH,1627681125
394,Soria,41.6667,-2.6667,59.86,83,0,5.37,ES,1627681126
395,Lillooet,50.6856,-121.942,95.72,12,0,1.79,CA,1627681126
396,Katangli,51.7102,143.2326,53.35,93,100,11.25,RU,1627681127
397,Murgab,37.4966,61.9714,73.27,35,0,9.22,TM,1627681127
398,Salinas,36.6777,-121.6555,93.22,58,1,16.11,US,1627681128
399,Hervey Bay,-25.2986,152.8535,61.03,65,0,5.97,AU,1627681128
400,Novo Aripuanã,-5.1206,-60.3797,81.54,47,4,1.01,BR,1627681129
401,Dickinson,29.4608,-95.0513,97.2,66,75,3.0,US,1627681130
402,Wahpeton,46.2652,-96.6059,80.42,57,1,12.66,US,1627680967
403,Marystown,47.1666,-55.1483,64.85,100,100,5.99,CA,1627681131
404,São Sebastião do Caí,-29.5867,-51.3756,54.93,76,0,1.41,BR,1627681131
405,Westport,41.1415,-73.3579,83.98,49,1,5.01,US,1627680933
406,Rāyadrug,14.7,76.8667,72.84,79,100,16.98,IN,1627681132
407,Washington,47.5001,-120.5015,102.58,17,3,10.25,US,1627680934
408,Shenzhen,22.5455,114.0683,84.27,95,69,5.41,CN,1627681133
409,Inírida,3.8653,-67.9239,77.4,87,47,2.71,CO,1627681134
410,Donauwörth,48.7,10.8,68.65,96,100,5.86,DE,1627681013
411,Tiarei,-17.5333,-149.3333,82.42,72,50,18.99,PF,1627681024
412,Makkah al Mukarramah,21.4267,39.8261,89.19,25,82,2.93,SA,1627681122
413,Mineros,-17.1167,-63.2333,72.99,29,41,2.06,BO,1627681135
414,Hoquiam,46.9809,-123.8893,97.05,34,1,9.22,US,1627681136
415,Kautokeino,69.0125,23.0412,48.45,87,100,5.5,NO,1627681137
416,Atherton,53.5237,-2.4935,59.72,94,100,4.0,GB,1627681138
417,Tigil',57.8,158.6667,53.65,61,88,9.31,RU,1627681139
418,NEDJO,9.5046,35.5019,57.69,99,100,2.59,ET,1627681140
419,Fonte Boa,-2.4959,-66.2662,76.84,70,87,3.62,BR,1627681140
420,Taltal,-25.4,-70.4833,61.97,67,25,4.43,CL,1627681141
421,Brae,60.3964,-1.353,53.51,77,97,12.82,GB,1627681142
422,Shingū,33.7333,135.9833,78.91,74,8,3.38,JP,1627681143
423,Deesa,24.25,72.1667,80.94,80,100,11.18,IN,1627681144
424,Colares,38.7992,-9.4469,68.29,73,0,8.01,PT,1627681144
425,Bellavista,-7.0561,-76.5911,79.88,65,91,1.32,PE,1627681145
426,Kasongo-Lunda,-6.4667,16.8167,74.16,31,7,1.48,CD,1627681145
427,Bonthe,7.5264,-12.505,76.44,87,99,7.72,SL,1627681036
428,Henties Bay,-22.116,14.2845,66.85,53,0,7.65,NA,1627681146
429,Batagay,67.6333,134.6333,64.94,42,57,2.06,RU,1627681147
430,Tessalit,20.1986,1.0114,91.54,31,36,4.45,ML,1627681147
431,Nova Borova,50.693,28.6345,65.35,67,0,7.16,UA,1627681148
432,Mezhgorye,44.9667,34.4167,68.31,73,0,3.47,UA,1627681149
433,Zyuzel'skiy,56.4856,60.1331,58.84,98,16,7.05,RU,1627681149
434,Bowen,-20.0167,148.2333,62.82,75,87,8.34,AU,1627681150
435,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,53.33,30,12,6.02,AR,1627681150
436,Zyryanka,65.75,150.85,53.58,52,85,8.63,RU,1627681151
437,Shumskiy,54.8318,99.1328,52.74,87,81,1.92,RU,1627681151
438,Salinópolis,-0.6136,-47.3561,79.56,82,11,8.66,BR,1627681152
439,Kushmurun,52.4503,64.6311,65.89,58,100,12.12,KZ,1627681153
440,Raja,8.4596,25.678,69.13,96,100,1.79,SS,1627681154
441,El Salvador,13.8333,-88.9167,88.05,56,36,1.54,SV,1627681067
442,Bubaque,11.2833,-15.8333,78.69,86,99,18.88,GW,1627681155
443,Vardø,70.3705,31.1107,46.6,86,84,11.16,NO,1627681155
444,Kehtna,58.9303,24.8781,58.75,97,87,8.63,EE,1627681156
445,Wyndham,37.6985,-77.6125,95.02,55,75,3.0,US,1627681156
446,Santa Isabel,-23.3156,-46.2214,51.66,90,97,4.36,BR,1627681157
447,Sheboygan,43.7333,-87.9334,73.85,57,1,1.99,US,1627681157
448,Benjamín Aceval,-24.9667,-57.5667,66.34,40,85,3.65,PY,1627681158
449,Zeya,53.75,127.2667,54.5,76,100,4.07,RU,1627681159
450,Noumea,-22.2763,166.4572,71.01,99,9,15.84,NC,1627681159
451,Namtsy,62.7161,129.6658,57.31,40,75,5.64,RU,1627681160
452,San Patricio,28.017,-97.5169,96.78,48,81,10.94,US,1627681160
453,Ereymentau,51.6199,73.1033,61.2,39,95,8.03,KZ,1627681161
454,Dzhebariki-Khaya,62.2167,135.8,60.57,55,24,2.19,RU,1627681161
455,Evensk,61.95,159.2333,52.39,51,28,5.35,RU,1627681162
456,Eureka,40.8021,-124.1637,73.13,72,69,7.0,US,1627681163
457,Manacapuru,-3.2997,-60.6206,75.78,60,8,2.62,BR,1627681086
458,Mahina,-17.5065,-149.489,82.17,61,20,5.75,PF,1627681164
459,Kununurra,-15.7667,128.7333,64.38,82,18,1.14,AU,1627681164
460,Prince Rupert,54.3161,-130.3201,65.89,87,1,3.44,CA,1627681165
461,Margate,51.3813,1.3862,61.7,76,60,1.99,GB,1627681165
462,Alekseyevsk,57.8406,108.3492,57.7,69,2,3.87,RU,1627681166
463,Rundu,-17.9333,19.7667,55.2,35,7,7.56,NA,1627681166
464,Verkh-Usugli,52.7,115.1667,51.73,76,22,5.39,RU,1627681167
465,Tunceli,39.1083,39.5471,85.06,52,2,7.56,TR,1627681168
466,Ossora,59.2353,163.0719,55.98,55,23,8.23,RU,1627681168
467,La Palma,33.8464,-118.0467,106.93,52,20,5.99,US,1627681169
468,Wanning,18.8003,110.3967,81.63,84,97,10.4,CN,1627681169
469,Bled,46.3692,14.1136,69.96,95,90,3.0,SI,1627681170
470,Mayumba,-3.432,10.6554,71.6,87,29,6.76,GA,1627681170
471,San Francisco,37.7749,-122.4194,98.76,71,20,4.0,US,1627680941
472,Mórahalom,46.2181,19.8851,76.01,38,4,5.23,HU,1627681171
473,Yanam,16.7333,82.2167,76.71,91,100,5.61,IN,1627681172
474,Severnyy,50.677,36.5532,68.04,83,0,6.71,RU,1627681173
475,Husavik,66.0449,-17.3389,58.91,70,3,2.35,IS,1627681173
476,Mastic Beach,40.7668,-72.8521,83.98,49,1,3.0,US,1627681174
477,Tabuk,17.4189,121.4443,76.82,84,100,1.63,PH,1627681083
478,Fairview,40.8126,-73.999,84.24,39,40,13.8,US,1627681175
479,Cap-aux-Meules,47.3821,-61.8597,60.85,82,90,14.97,CA,1627681176
480,Bealanana,-14.55,48.7333,53.83,96,68,6.71,MG,1627681176
481,Clarence Town,-32.5833,151.7833,51.85,58,1,2.28,AU,1627681177
482,Sandpoint,48.2766,-116.5533,100.62,19,1,1.01,US,1627681177
483,Ndélé,8.4109,20.6473,71.11,94,100,0.65,CF,1627681178
484,Kalengwa,-13.4659,25.0027,54.41,45,0,7.27,ZM,1627681179
485,Itarema,-2.9248,-39.9167,79.36,81,54,13.8,BR,1627681008
486,Chute-aux-Outardes,49.1168,-68.399,62.4,100,90,2.3,CA,1627681179
487,Arrondissement de Toul,48.6667,5.9167,63.52,63,0,5.75,FR,1627681180
488,Ngunguru,-35.6167,174.5,61.16,85,100,20.8,NZ,1627681181
489,Santa Isabel Rio Negro,-0.4139,-65.0192,76.26,91,77,0.89,BR,1627681182
490,Buenos Aires,-34.6132,-58.3772,56.97,56,0,12.66,AR,1627681168
491,Nyurba,63.2842,118.3319,60.58,53,8,2.44,RU,1627681183
492,Ilulissat,69.2167,-51.1,59.02,41,66,5.75,GL,1627681183
493,Preston,53.7667,-2.7167,60.75,15,100,6.17,GB,1627681184
494,Oyem,1.5995,11.5793,67.41,96,52,2.93,GA,1627681184
495,Karabük,41.2049,32.6277,69.06,60,0,2.59,TR,1627681185
496,Pervomayskoye,43.919,46.7102,69.64,74,8,8.37,RU,1627681186
497,Kaupanger,61.1845,7.2404,55.09,85,6,3.56,NO,1627681186
498,Riihimäki,60.7377,24.7773,59.29,98,100,2.33,FI,1627681187
499,Republic,37.12,-93.4802,95.04,52,40,1.99,US,1627681187
500,Cabo Rojo,18.0866,-67.1457,85.98,79,55,1.99,PR,1627681188
501,Lakes Entrance,-37.8811,147.981,53.19,65,84,11.56,AU,1627681188
502,Santa Marta de Tormes,40.9506,-5.6272,64.42,46,0,4.0,ES,1627681189
503,Kumul,42.8,93.45,82.44,22,10,19.62,CN,1627681190
504,Galle,6.0367,80.217,79.47,84,51,13.8,LK,1627681190
505,Victoria Point,-27.5833,153.3,57.18,88,1,4.61,AU,1627681191
506,Aljezur,37.3191,-8.8033,65.05,84,0,14.94,PT,1627681192
507,Sars,56.5502,57.1366,57.4,97,18,4.72,RU,1627681192
508,Santa Cruz de Tenerife,28.4682,-16.2546,76.91,81,40,5.01,ES,1627681193
509,Okahandja,-21.9833,16.9167,57.51,22,0,14.38,NA,1627681193
510,Linhares,-19.3911,-40.0722,65.5,61,100,7.18,BR,1627681194
511,Beyneu,45.3167,55.2,83.35,15,11,8.86,KZ,1627681195
512,Le Port,-20.9373,55.2919,68.0,77,17,6.24,RE,1627680901
513,Tezu,27.9167,96.1667,76.69,83,97,1.72,IN,1627681196
514,San Quintín,30.4833,-115.95,74.62,69,8,17.34,MX,1627681196
515,Charters Towers,-20.1,146.2667,67.75,80,75,10.76,AU,1627681197
516,Mana,5.6592,-53.7767,78.35,85,30,5.86,GF,1627681198
517,Krasnosel'kup,65.7,82.4667,53.28,65,72,5.97,RU,1627681198
518,Rome,43.2128,-75.4557,69.12,61,16,1.99,US,1627681122
519,Lavrentiya,65.5833,-171.0,45.61,89,99,7.96,RU,1627681199
520,Pitimbu,-7.4706,-34.8086,73.99,79,79,10.29,BR,1627681200
521,Luena,-11.7833,19.9167,54.95,39,0,5.37,AO,1627681201
522,Sztum,53.9208,19.0307,64.35,61,17,7.27,PL,1627681201
523,Skała,50.2305,19.8536,69.51,75,0,2.3,PL,1627681202
524,Miraflores,19.2167,-98.8083,72.01,84,100,3.58,MX,1627681203
525,Pundaguitan,6.3711,126.1689,83.75,76,80,9.22,PH,1627681204
526,Baoshan,46.5586,131.4244,73.96,82,100,1.45,CN,1627681204
527,Zaysan,47.4667,84.8667,60.31,52,65,10.65,KZ,1627681205
528,Berdigestyakh,62.0989,126.6992,61.05,54,32,2.33,RU,1627681205
529,Lookan,5.037,120.1027,83.26,78,80,9.04,PH,1627681206
530,Bonavista,48.6499,-53.1147,64.4,67,100,12.08,CA,1627681032
531,Cap Malheureux,-19.9842,57.6142,70.29,71,68,5.01,MU,1627681207
532,Sobolevo,54.4299,31.8996,62.56,71,82,7.58,RU,1627681208
533,Ucluelet,48.9329,-125.5528,97.09,77,24,1.99,CA,1627681109
534,Boa Vista,2.8197,-60.6733,87.78,58,75,8.05,BR,1627681209
535,Teya,60.3778,92.6267,54.54,82,100,3.36,RU,1627681210
536,Marquette,46.5333,-87.6335,67.82,56,20,3.0,US,1627681052
537,Acapulco de Juárez,16.8634,-99.8901,87.62,66,75,4.61,MX,1627681004
538,Biak,-0.9131,122.8766,74.86,86,73,5.44,ID,1627681211
539,Port Augusta,-32.5,137.7667,48.34,53,66,6.58,AU,1627681212
540,Chabahar,25.2919,60.643,84.61,84,56,11.54,IR,1627681212
541,Celestún,20.8667,-90.4,87.17,68,19,20.36,MX,1627681213
542,Lubao,14.9167,120.55,81.14,92,100,4.76,PH,1627681213
543,Verkhnyaya Inta,65.9811,60.3094,43.66,90,96,7.43,RU,1627681214
544,Bandarbeyla,9.4942,50.8122,76.57,75,35,26.53,SO,1627681214
545,Vestmanna,62.1564,-7.1664,45.52,93,75,14.97,FO,1627681215
546,St. George's,12.0564,-61.7485,83.88,79,20,18.41,GD,1627681216
547,Davidson,36.1501,-86.7833,93.65,56,75,3.0,US,1627681216
548,Kaeo,-35.1,173.7833,61.32,84,100,17.72,NZ,1627681217
549,Mnogovershinnyy,53.9353,139.9242,47.01,95,100,5.26,RU,1627681217
550,Ambon City,-3.6954,128.1814,71.74,94,20,2.3,ID,1627681201
551,Grindavik,63.8424,-22.4338,57.67,82,0,5.75,IS,1627681218
552,Praia da Vitória,38.7333,-27.0667,73.76,83,40,7.58,PT,1627681219
553,Mount Gambier,-37.8333,140.7667,49.91,93,75,13.8,AU,1627681056
554,São Gabriel da Cachoeira,-0.1303,-67.0892,75.22,75,83,3.04,BR,1627681220
555,Muroto-misakicho,33.2833,134.15,75.24,75,100,5.55,JP,1627681185
556,Hobyo,5.3505,48.5268,76.39,80,100,24.23,SO,1627681075
557,Karmaskaly,54.3709,56.1837,64.31,85,49,4.34,RU,1627681222
558,Kimbe,-5.5502,150.1429,78.64,85,81,3.09,PG,1627681222
559,Yoichi,43.2039,140.7703,73.44,70,36,3.42,JP,1627681223
560,Nuevo Progreso,23.1667,-97.95,92.59,58,32,12.19,MX,1627681224
561,Vila,42.0304,-8.1588,57.7,75,94,4.63,PT,1627681224
562,Opuwo,-18.0607,13.84,61.45,26,0,9.6,NA,1627681225
563,Korem,12.5058,39.5228,57.27,95,100,2.71,ET,1627681226
564,Tupelo,34.2576,-88.7034,97.09,53,20,4.61,US,1627681227
565,Bognor Regis,50.7821,-0.6798,62.22,84,43,17.13,GB,1627681227
566,Bako,5.7833,36.5667,63.63,77,100,3.8,ET,1627681228
567,Muros,42.7762,-9.0603,66.83,74,50,9.6,ES,1627681228
568,Havre-St-Pierre,50.2334,-63.5986,59.36,94,90,6.91,CA,1627681229
569,Vila Velha,-20.3297,-40.2925,67.95,56,75,12.66,BR,1627680954
570,Leh,34.1667,77.5833,61.57,63,31,4.7,IN,1627681230
571,Lampa,-33.2833,-70.9,68.83,30,0,12.66,CL,1627681231
572,Beruwala,6.4788,79.9828,79.12,84,17,11.56,LK,1627681231
573,Raudeberg,61.9875,5.1352,56.07,77,23,17.29,NO,1627681232
574,Pustomyty,49.7153,23.913,66.88,82,0,4.47,UA,1627681232
575,Port Pirie,-33.1833,138.0167,48.29,66,46,3.94,AU,1627681233
576,Kerrville,30.0474,-99.1403,94.44,49,1,1.01,US,1627681234
577,Lahaina,20.8783,-156.6825,87.94,61,40,16.11,US,1627681234
578,Ust-Tsilma,65.441,52.1498,46.49,82,68,3.33,RU,1627681235
579,Churintzio,20.15,-102.0667,74.84,53,95,7.34,MX,1627681236
580,Ponta Delgada,37.7333,-25.6667,72.32,78,20,4.61,PT,1627681236
581,Faya,18.3851,42.4509,71.71,53,92,4.0,SA,1627681237
582,Turan,16.0678,108.2208,87.85,62,20,2.3,VN,1627681237
583,Marapanim,-0.7175,-47.6997,76.42,89,18,4.18,BR,1627681238
584,Seredka,58.1584,28.1858,62.35,74,96,17.11,RU,1627681239
585,Paamiut,61.994,-49.6678,46.44,83,100,7.27,GL,1627681048
586,Aleksandrov Gay,50.147,48.5704,80.85,27,93,10.63,RU,1627681240
587,Samarai,-10.6167,150.6667,79.77,76,95,19.15,PG,1627681240
